expiration,strike,exchange,tradingClass,multiplier
20250916,27.0,CBOE,VIX,100
20250916,28.0,CBOE,VIX,100
20250916,29.0,CBOE,VIX,100
20250916,30.0,CBOE,VIX,100
20250916,31.0,CBOE,VIX,100
20250916,32.0,CBOE,VIX,100
20250916,33.0,CBOE,VIX,100
20250916,34.0,CBOE,VIX,100
20250916,35.0,CBOE,VIX,100
20250916,36.0,CBOE,VIX,100
20250916,37.0,CBOE,VIX,100
20250916,38.0,CBOE,VIX,100
20250916,39.0,CBOE,VIX,100
20250916,40.0,CBOE,VIX,100
20250916,42.5,CBOE,VIX,100
20250916,45.0,CBOE,VIX,100
20250916,47.5,CBOE,VIX,100
20250916,50.0,CBOE,VIX,100
20250916,55.0,CBOE,VIX,100
20250916,60.0,CBOE,VIX,100
20250916,65.0,CBOE,VIX,100
20250916,70.0,CBOE,VIX,100
20250916,75.0,CBOE,VIX,100
20250916,80.0,CBOE,VIX,100
20250916,85.0,CBOE,VIX,100
20250916,90.0,CBOE,VIX,100
20250916,95.0,CBOE,VIX,100
20250916,100.0,CBOE,VIX,100
20250916,110.0,CBOE,VIX,100
20250916,120.0,CBOE,VIX,100
20250916,130.0,CBOE,VIX,100
20250916,140.0,CBOE,VIX,100
20250916,150.0,CBOE,VIX,100
20250916,160.0,CBOE,VIX,100
20250916,170.0,CBOE,VIX,100
20250916,180.0,CBOE,VIX,100
20250916,190.0,CBOE,VIX,100
20250916,200.0,CBOE,VIX,100
20251021,10.0,CBOE,VIX,100
20251021,10.5,CBOE,VIX,100
20251021,11.0,CBOE,VIX,100
20251021,11.5,CBOE,VIX,100
20251021,12.0,CBOE,VIX,100
20251021,12.5,CBOE,VIX,100
20251021,13.0,CBOE,VIX,100
20251021,13.5,CBOE,VIX,100
20251021,14.0,CBOE,VIX,100
20251021,14.5,CBOE,VIX,100
20251021,15.0,CBOE,VIX,100
20251021,15.5,CBOE,VIX,100
20251021,16.0,CBOE,VIX,100
20251021,16.5,CBOE,VIX,100
20251021,17.0,CBOE,VIX,100
20251021,17.5,CBOE,VIX,100
20251021,18.0,CBOE,VIX,100
20251021,18.5,CBOE,VIX,100
20251021,19.0,CBOE,VIX,100
20251021,19.5,CBOE,VIX,100
20251021,20.0,CBOE,VIX,100
20251021,20.5,CBOE,VIX,100
20251021,21.0,CBOE,VIX,100
20251021,21.5,CBOE,VIX,100
20251021,22.0,CBOE,VIX,100
20251021,22.5,CBOE,VIX,100
20251021,23.0,CBOE,VIX,100
20251021,23.5,CBOE,VIX,100
20251021,24.0,CBOE,VIX,100
20251021,24.5,CBOE,VIX,100
20251021,25.0,CBOE,VIX,100
20251021,26.0,CBOE,VIX,100
20251021,27.0,CBOE,VIX,100
20251021,28.0,CBOE,VIX,100
20251021,29.0,CBOE,VIX,100
20251021,30.0,CBOE,VIX,100
20251021,31.0,CBOE,VIX,100
20251021,32.0,CBOE,VIX,100
20251021,33.0,CBOE,VIX,100
20251021,34.0,CBOE,VIX,100
20251021,35.0,CBOE,VIX,100
20251021,36.0,CBOE,VIX,100
20251021,37.0,CBOE,VIX,100
20251021,38.0,CBOE,VIX,100
20251021,39.0,CBOE,VIX,100
20251021,40.0,CBOE,VIX,100
20251021,42.5,CBOE,VIX,100
20251021,45.0,CBOE,VIX,100
20251021,47.5,CBOE,VIX,100
20251021,50.0,CBOE,VIX,100
20251021,55.0,CBOE,VIX,100
20251021,60.0,CBOE,VIX,100
20251021,65.0,CBOE,VIX,100
20251021,70.0,CBOE,VIX,100
20251021,75.0,CBOE,VIX,100
20251021,80.0,CBOE,VIX,100
20251021,85.0,CBOE,VIX,100
20251021,90.0,CBOE,VIX,100
20251021,95.0,CBOE,VIX,100
20251021,100.0,CBOE,VIX,100
20251021,110.0,CBOE,VIX,100
20251021,120.0,CBOE,VIX,100
20251021,130.0,CBOE,VIX,100
20251021,140.0,CBOE,VIX,100
20251021,150.0,CBOE,VIX,100
20251021,160.0,CBOE,VIX,100
20251021,170.0,CBOE,VIX,100
20251021,180.0,CBOE,VIX,100
20251021,190.0,CBOE,VIX,100
20251021,200.0,CBOE,VIX,100
20251118,10.0,CBOE,VIX,100
20251118,10.5,CBOE,VIX,100
20251118,11.0,CBOE,VIX,100
20251118,11.5,CBOE,VIX,100
20251118,12.0,CBOE,VIX,100
20251118,12.5,CBOE,VIX,100
20251118,13.0,CBOE,VIX,100
20251118,13.5,CBOE,VIX,100
20251118,14.0,CBOE,VIX,100
20251118,14.5,CBOE,VIX,100
20251118,15.0,CBOE,VIX,100
20251118,15.5,CBOE,VIX,100
20251118,16.0,CBOE,VIX,100
20251118,16.5,CBOE,VIX,100
20251118,17.0,CBOE,VIX,100
20251118,17.5,CBOE,VIX,100
20251118,18.0,CBOE,VIX,100
20251118,18.5,CBOE,VIX,100
20251118,19.0,CBOE,VIX,100
20251118,19.5,CBOE,VIX,100
20251118,20.0,CBOE,VIX,100
20251118,20.5,CBOE,VIX,100
20251118,21.0,CBOE,VIX,100
20251118,21.5,CBOE,VIX,100
20251118,22.0,CBOE,VIX,100
20251118,22.5,CBOE,VIX,100
20251118,23.0,CBOE,VIX,100
20251118,23.5,CBOE,VIX,100
20251118,24.0,CBOE,VIX,100
20251118,24.5,CBOE,VIX,100
20251118,25.0,CBOE,VIX,100
20251118,26.0,CBOE,VIX,100
20251118,27.0,CBOE,VIX,100
20251118,28.0,CBOE,VIX,100
20251118,29.0,CBOE,VIX,100
20251118,30.0,CBOE,VIX,100
20251118,31.0,CBOE,VIX,100
20251118,32.0,CBOE,VIX,100
20251118,33.0,CBOE,VIX,100
20251118,34.0,CBOE,VIX,100
20251118,35.0,CBOE,VIX,100
20251118,36.0,CBOE,VIX,100
20251118,37.0,CBOE,VIX,100
20251118,38.0,CBOE,VIX,100
20251118,39.0,CBOE,VIX,100
20251118,40.0,CBOE,VIX,100
20251118,42.5,CBOE,VIX,100
20251118,45.0,CBOE,VIX,100
20251118,47.5,CBOE,VIX,100
20251118,50.0,CBOE,VIX,100
20251118,55.0,CBOE,VIX,100
20251118,60.0,CBOE,VIX,100
20251118,65.0,CBOE,VIX,100
20251118,70.0,CBOE,VIX,100
20251118,75.0,CBOE,VIX,100
20251118,80.0,CBOE,VIX,100
20251118,85.0,CBOE,VIX,100
20251118,90.0,CBOE,VIX,100
20251118,95.0,CBOE,VIX,100
20251118,100.0,CBOE,VIX,100
20251118,110.0,CBOE,VIX,100
20251118,120.0,CBOE,VIX,100
20251118,130.0,CBOE,VIX,100
20251118,140.0,CBOE,VIX,100
20251118,150.0,CBOE,VIX,100
20251118,160.0,CBOE,VIX,100
20251118,170.0,CBOE,VIX,100
20251118,180.0,CBOE,VIX,100
20251118,190.0,CBOE,VIX,100
20251118,200.0,CBOE,VIX,100
20251216,10.0,CBOE,VIX,100
20251216,10.5,CBOE,VIX,100
20251216,11.0,CBOE,VIX,100
20251216,11.5,CBOE,VIX,100
20251216,12.0,CBOE,VIX,100
20251216,12.5,CBOE,VIX,100
20251216,13.0,CBOE,VIX,100
20251216,13.5,CBOE,VIX,100
20251216,14.0,CBOE,VIX,100
20251216,14.5,CBOE,VIX,100
20251216,15.0,CBOE,VIX,100
20251216,15.5,CBOE,VIX,100
20251216,16.0,CBOE,VIX,100
20251216,16.5,CBOE,VIX,100
20251216,17.0,CBOE,VIX,100
20251216,17.5,CBOE,VIX,100
20251216,18.0,CBOE,VIX,100
20251216,18.5,CBOE,VIX,100
20251216,19.0,CBOE,VIX,100
20251216,19.5,CBOE,VIX,100
20251216,20.0,CBOE,VIX,100
20251216,20.5,CBOE,VIX,100
20251216,21.0,CBOE,VIX,100
20251216,21.5,CBOE,VIX,100
20251216,22.0,CBOE,VIX,100
20251216,22.5,CBOE,VIX,100
20251216,23.0,CBOE,VIX,100
20251216,23.5,CBOE,VIX,100
20251216,24.0,CBOE,VIX,100
20251216,24.5,CBOE,VIX,100
20251216,25.0,CBOE,VIX,100
20251216,26.0,CBOE,VIX,100
20251216,27.0,CBOE,VIX,100
20251216,28.0,CBOE,VIX,100
20251216,29.0,CBOE,VIX,100
20251216,30.0,CBOE,VIX,100
20251216,31.0,CBOE,VIX,100
20251216,32.0,CBOE,VIX,100
20251216,33.0,CBOE,VIX,100
20251216,34.0,CBOE,VIX,100
20251216,35.0,CBOE,VIX,100
20251216,36.0,CBOE,VIX,100
20251216,37.0,CBOE,VIX,100
20251216,38.0,CBOE,VIX,100
20251216,39.0,CBOE,VIX,100
20251216,40.0,CBOE,VIX,100
20251216,42.5,CBOE,VIX,100
20251216,45.0,CBOE,VIX,100
20251216,47.5,CBOE,VIX,100
20251216,50.0,CBOE,VIX,100
20251216,55.0,CBOE,VIX,100
20251216,60.0,CBOE,VIX,100
20251216,65.0,CBOE,VIX,100
20251216,70.0,CBOE,VIX,100
20251216,75.0,CBOE,VIX,100
20251216,80.0,CBOE,VIX,100
20251216,85.0,CBOE,VIX,100
20251216,90.0,CBOE,VIX,100
20251216,95.0,CBOE,VIX,100
20251216,100.0,CBOE,VIX,100
20251216,110.0,CBOE,VIX,100
20251216,120.0,CBOE,VIX,100
20251216,130.0,CBOE,VIX,100
20251216,140.0,CBOE,VIX,100
20251216,150.0,CBOE,VIX,100
20251216,160.0,CBOE,VIX,100
20251216,170.0,CBOE,VIX,100
20251216,180.0,CBOE,VIX,100
20251216,190.0,CBOE,VIX,100
20251216,200.0,CBOE,VIX,100
20260120,10.0,CBOE,VIX,100
20260120,10.5,CBOE,VIX,100
20260120,11.0,CBOE,VIX,100
20260120,11.5,CBOE,VIX,100
20260120,12.0,CBOE,VIX,100
20260120,12.5,CBOE,VIX,100
20260120,13.0,CBOE,VIX,100
20260120,13.5,CBOE,VIX,100
20260120,14.0,CBOE,VIX,100
20260120,14.5,CBOE,VIX,100
20260120,15.0,CBOE,VIX,100
20260120,15.5,CBOE,VIX,100
20260120,16.0,CBOE,VIX,100
20260120,16.5,CBOE,VIX,100
20260120,17.0,CBOE,VIX,100
20260120,17.5,CBOE,VIX,100
20260120,18.0,CBOE,VIX,100
20260120,18.5,CBOE,VIX,100
20260120,19.0,CBOE,VIX,100
20260120,19.5,CBOE,VIX,100
20260120,20.0,CBOE,VIX,100
20260120,20.5,CBOE,VIX,100
20260120,21.0,CBOE,VIX,100
20260120,21.5,CBOE,VIX,100
20260120,22.0,CBOE,VIX,100
20260120,22.5,CBOE,VIX,100
20260120,23.0,CBOE,VIX,100
20260120,23.5,CBOE,VIX,100
20260120,24.0,CBOE,VIX,100
20260120,24.5,CBOE,VIX,100
20260120,25.0,CBOE,VIX,100
20260120,26.0,CBOE,VIX,100
20260120,27.0,CBOE,VIX,100
20260120,28.0,CBOE,VIX,100
20260120,29.0,CBOE,VIX,100
20260120,30.0,CBOE,VIX,100
20260120,31.0,CBOE,VIX,100
20260120,32.0,CBOE,VIX,100
20260120,33.0,CBOE,VIX,100
20260120,34.0,CBOE,VIX,100
20260120,35.0,CBOE,VIX,100
20260120,36.0,CBOE,VIX,100
20260120,37.0,CBOE,VIX,100
20260120,38.0,CBOE,VIX,100
20260120,39.0,CBOE,VIX,100
20260120,40.0,CBOE,VIX,100
20260120,42.5,CBOE,VIX,100
20260120,45.0,CBOE,VIX,100
20260120,47.5,CBOE,VIX,100
20260120,50.0,CBOE,VIX,100
20260120,55.0,CBOE,VIX,100
20260120,60.0,CBOE,VIX,100
20260120,65.0,CBOE,VIX,100
20260120,70.0,CBOE,VIX,100
20260120,75.0,CBOE,VIX,100
20260120,80.0,CBOE,VIX,100
20260120,85.0,CBOE,VIX,100
20260120,90.0,CBOE,VIX,100
20260120,95.0,CBOE,VIX,100
20260120,100.0,CBOE,VIX,100
20260120,110.0,CBOE,VIX,100
20260120,120.0,CBOE,VIX,100
20260120,130.0,CBOE,VIX,100
20260120,140.0,CBOE,VIX,100
20260120,150.0,CBOE,VIX,100
20260120,160.0,CBOE,VIX,100
20260120,170.0,CBOE,VIX,100
20260120,180.0,CBOE,VIX,100
20260120,190.0,CBOE,VIX,100
20260120,200.0,CBOE,VIX,100
20260217,10.0,CBOE,VIX,100
20260217,10.5,CBOE,VIX,100
20260217,11.0,CBOE,VIX,100
20260217,11.5,CBOE,VIX,100
20260217,12.0,CBOE,VIX,100
20260217,12.5,CBOE,VIX,100
20260217,13.0,CBOE,VIX,100
20260217,13.5,CBOE,VIX,100
20260217,14.0,CBOE,VIX,100
20260217,14.5,CBOE,VIX,100
20260217,15.0,CBOE,VIX,100
20260217,15.5,CBOE,VIX,100
20260217,16.0,CBOE,VIX,100
20260217,16.5,CBOE,VIX,100
20260217,17.0,CBOE,VIX,100
20260217,17.5,CBOE,VIX,100
20260217,18.0,CBOE,VIX,100
20260217,18.5,CBOE,VIX,100
20260217,19.0,CBOE,VIX,100
20260217,19.5,CBOE,VIX,100
20260217,20.0,CBOE,VIX,100
20260217,20.5,CBOE,VIX,100
20260217,21.0,CBOE,VIX,100
20260217,21.5,CBOE,VIX,100
20260217,22.0,CBOE,VIX,100
20260217,22.5,CBOE,VIX,100
20260217,23.0,CBOE,VIX,100
20260217,23.5,CBOE,VIX,100
20260217,24.0,CBOE,VIX,100
20260217,24.5,CBOE,VIX,100
20260217,25.0,CBOE,VIX,100
20260217,26.0,CBOE,VIX,100
20260217,27.0,CBOE,VIX,100
20260217,28.0,CBOE,VIX,100
20260217,29.0,CBOE,VIX,100
20260217,30.0,CBOE,VIX,100
20260217,31.0,CBOE,VIX,100
20260217,32.0,CBOE,VIX,100
20260217,33.0,CBOE,VIX,100
20260217,34.0,CBOE,VIX,100
20260217,35.0,CBOE,VIX,100
20260217,36.0,CBOE,VIX,100
20260217,37.0,CBOE,VIX,100
20260217,38.0,CBOE,VIX,100
20260217,39.0,CBOE,VIX,100
20260217,40.0,CBOE,VIX,100
20260217,42.5,CBOE,VIX,100
20260217,45.0,CBOE,VIX,100
20260217,47.5,CBOE,VIX,100
20260217,50.0,CBOE,VIX,100
20260217,55.0,CBOE,VIX,100
20260217,60.0,CBOE,VIX,100
20260217,65.0,CBOE,VIX,100
20260217,70.0,CBOE,VIX,100
20260217,75.0,CBOE,VIX,100
20260217,80.0,CBOE,VIX,100
20260217,85.0,CBOE,VIX,100
20260217,90.0,CBOE,VIX,100
20260217,95.0,CBOE,VIX,100
20260217,100.0,CBOE,VIX,100
20260217,110.0,CBOE,VIX,100
20260217,120.0,CBOE,VIX,100
20260217,130.0,CBOE,VIX,100
20260217,140.0,CBOE,VIX,100
20260217,150.0,CBOE,VIX,100
20260217,160.0,CBOE,VIX,100
20260217,170.0,CBOE,VIX,100
20260217,180.0,CBOE,VIX,100
20260217,190.0,CBOE,VIX,100
20260217,200.0,CBOE,VIX,100
20260317,10.0,CBOE,VIX,100
20260317,10.5,CBOE,VIX,100
20260317,11.0,CBOE,VIX,100
20260317,11.5,CBOE,VIX,100
20260317,12.0,CBOE,VIX,100
20260317,12.5,CBOE,VIX,100
20260317,13.0,CBOE,VIX,100
20260317,13.5,CBOE,VIX,100
20260317,14.0,CBOE,VIX,100
20260317,14.5,CBOE,VIX,100
20260317,15.0,CBOE,VIX,100
20260317,15.5,CBOE,VIX,100
20260317,16.0,CBOE,VIX,100
20260317,16.5,CBOE,VIX,100
20260317,17.0,CBOE,VIX,100
20260317,17.5,CBOE,VIX,100
20260317,18.0,CBOE,VIX,100
20260317,18.5,CBOE,VIX,100
20260317,19.0,CBOE,VIX,100
20260317,19.5,CBOE,VIX,100
20260317,20.0,CBOE,VIX,100
20260317,20.5,CBOE,VIX,100
20260317,21.0,CBOE,VIX,100
20260317,21.5,CBOE,VIX,100
20260317,22.0,CBOE,VIX,100
20260317,22.5,CBOE,VIX,100
20260317,23.0,CBOE,VIX,100
20260317,23.5,CBOE,VIX,100
20260317,24.0,CBOE,VIX,100
20260317,24.5,CBOE,VIX,100
20260317,25.0,CBOE,VIX,100
20260317,26.0,CBOE,VIX,100
20260317,27.0,CBOE,VIX,100
20260317,28.0,CBOE,VIX,100
20260317,29.0,CBOE,VIX,100
20260317,30.0,CBOE,VIX,100
20260317,31.0,CBOE,VIX,100
20260317,32.0,CBOE,VIX,100
20260317,33.0,CBOE,VIX,100
20260317,34.0,CBOE,VIX,100
20260317,35.0,CBOE,VIX,100
20260317,36.0,CBOE,VIX,100
20260317,37.0,CBOE,VIX,100
20260317,38.0,CBOE,VIX,100
20260317,39.0,CBOE,VIX,100
20260317,40.0,CBOE,VIX,100
20260317,42.5,CBOE,VIX,100
20260317,45.0,CBOE,VIX,100
20260317,47.5,CBOE,VIX,100
20260317,50.0,CBOE,VIX,100
20260317,55.0,CBOE,VIX,100
20260317,60.0,CBOE,VIX,100
20260317,65.0,CBOE,VIX,100
20260317,70.0,CBOE,VIX,100
20260317,75.0,CBOE,VIX,100
20260317,80.0,CBOE,VIX,100
20260317,85.0,CBOE,VIX,100
20260317,90.0,CBOE,VIX,100
20260317,95.0,CBOE,VIX,100
20260317,100.0,CBOE,VIX,100
20260317,110.0,CBOE,VIX,100
20260317,120.0,CBOE,VIX,100
20260317,130.0,CBOE,VIX,100
20260317,140.0,CBOE,VIX,100
20260317,150.0,CBOE,VIX,100
20260317,160.0,CBOE,VIX,100
20260317,170.0,CBOE,VIX,100
20260317,180.0,CBOE,VIX,100
20260317,190.0,CBOE,VIX,100
20260317,200.0,CBOE,VIX,100
